Cust_Id,Calendar_Dt,Amt_LE
174868729,2019-11-02,0.34
182935636,2019-11-01,0.00
186715137,2019-11-01,1.60
152418025,2019-11-01,0.64
69562373,2019-11-01,9.62
175731818,2019-11-01,0.04
165892302,2019-11-01,0.20
31220765,2019-11-01,35.03
36721367,2019-11-02,0.00
122126398,2019-11-01,163.01
180133927,2019-11-01,121.05
102922885,2019-11-01,0.59
139473408,2019-11-08,12.56
176391069,2019-11-01,211.35
180056254,2019-11-01,3.86
133684832,2019-11-07,0.00
170895157,2019-11-01,60.38
182082335,2019-11-03,3.29
17060014,2019-11-04,0.02
174888734,2019-11-01,204.36
186622559,2019-11-01,449.04
100510193,2019-11-02,121.74
32874612,2019-11-01,24.54
59331964,2019-11-05,0.01
131964812,2019-11-01,0.01
94837237,2019-11-01,6.41
161144101,2019-11-01,1.60
163373490,2019-11-01,127.14
140684852,2019-11-01,0.00
177298347,2019-11-04,108.68
187713609,2019-11-03,173.90
115447081,2019-11-01,24.57
126531117,2019-11-05,4.51
115194486,2019-11-01,178.06
161386765,2019-11-01,0.10
91935894,2019-11-06,0.00
3648871,2019-11-01,19.70
28469954,2019-11-01,312.52
176565991,2019-11-01,70.61
177705268,2019-11-03,0.19
51225375,2019-11-01,302.66
154853271,2019-11-03,0.58
29134261,2019-11-01,22.76
177617603,2019-11-01,0.03
2863537,2019-11-01,0.64
145717195,2019-11-01,0.40
182084966,2019-11-02,38.92
185776722,2019-11-02,0.10
7111177,2019-11-01,0.03
126603263,2019-11-01,0.10
185393108,2019-11-01,64.35
149042650,2019-11-01,175.54
109241489,2019-11-01,0.10
123973601,2019-11-01,1.96
120087429,2019-11-01,101.82
136207926,2019-11-01,0.14
153196406,2019-11-01,0.59
24978019,2019-11-01,0.32
16720202,2019-11-07,0.10
100913953,2019-11-01,27.62
96356927,2019-11-01,0.01
114372324,2019-11-01,125.14
178184499,2019-11-02,23.70
186240678,2019-11-01,185.18
118576978,2019-11-03,0.11
123051050,2019-11-05,77.41
152104214,2019-11-01,201.77
156023401,2019-11-07,0.35
166198956,2019-11-01,0.00
187230809,2019-11-01,276.36
187710122,2019-11-01,320.39
182722010,2019-11-01,74.92
187544927,2019-11-04,11.78
159826762,2019-11-02,7.11
166639136,2019-11-01,0.64
132056475,2019-11-01,96.13
177532487,2019-11-01,0.08
124954474,2019-11-01,0.01
181025726,2019-11-08,0.32
183985963,2019-11-01,0.69
176804291,2019-11-01,64.65
182675945,2019-11-07,0.03
161119162,2019-11-04,92.79
16686903,2019-11-02,0.96
89888014,2019-11-01,7.75
146229624,2019-11-01,428.17
179680329,2019-11-02,0.00
14107405,2019-11-04,2.89
188128789,2019-11-01,257.84
175535320,2019-11-01,0.00
97508011,2019-11-02,124.01
148758550,2019-11-01,0.00
180886818,2019-11-01,10.29
132638930,2019-11-01,141.37
15154367,2019-11-01,0.00
186909963,2019-11-02,0.00
132011062,2019-11-01,0.10
7272212,2019-11-01,9.87
175659916,2019-11-01,1.28
2728318,2019-11-01,2.24
6585881,2019-11-01,503.82
40108528,2019-11-03,4.51
186416662,2019-11-07,195.21
35468079,2019-11-04,0.00
100431704,2019-11-01,70.06
7371276,2019-11-01,0.32
74234859,2019-11-01,0.29
185888266,2019-11-07,117.61
160737180,2019-11-01,74.57
141633017,2019-11-01,0.71
115168344,2019-11-01,3.58
51162731,2019-11-01,25.22
127421572,2019-11-03,1.63
138532770,2019-11-01,0.01
185067490,2019-11-03,0.01
10430821,2019-11-03,12.85
143364190,2019-11-01,180.06
129490660,2019-11-06,0.00
339749,2019-11-01,0.00
160647252,2019-11-04,0.10
150594844,2019-11-01,0.00
183108560,2019-11-01,80.51
179241821,2019-11-06,28.33
180000115,2019-11-01,23.05
183602187,2019-11-01,4.17
145404179,2019-11-02,0.10
27315200,2019-11-01,43.11
120503057,2019-11-01,0.04
179494008,2019-11-01,1.02
157831553,2019-11-01,113.27
161033516,2019-11-01,129.71
171362867,2019-11-01,409.99
175129522,2019-11-01,0.10
87138427,2019-11-01,3.65
181610650,2019-11-01,0.02
31368586,2019-11-01,103.81
182897014,2019-11-03,0.64
152942669,2019-11-01,78.15
29776119,2019-11-08,0.05
33400602,2019-11-03,0.00
25915824,2019-11-01,0.00
24199129,2019-11-05,0.09
95447222,2019-11-01,21.81
181156644,2019-11-01,0.02
187031173,2019-11-01,0.00
186602453,2019-11-01,1230.01
182171775,2019-11-01,117.22
64931447,2019-11-01,16.52
4316116,2019-11-02,0.59
124376057,2019-11-01,102.56
180957374,2019-11-02,0.32
187490277,2019-11-04,184.60
180282705,2019-11-01,38.65
63965155,2019-11-04,0.38
126430320,2019-11-01,3.72
166937960,2019-11-04,8.25
99913403,2019-11-01,52.04
54667228,2019-11-01,1.08
23403191,2019-11-03,39.41
86731302,2019-11-01,244.34
184098262,2019-11-04,11.86
82173460,2019-11-01,111.77
162772275,2019-11-03,0.02
42136466,2019-11-01,15.57
61187651,2019-11-01,0.64
187170348,2019-11-05,0.15
138033555,2019-11-04,15.54
168204136,2019-11-03,0.02
139915588,2019-11-01,0.00
166602737,2019-11-08,597.70
185838775,2019-11-01,0.58
135381747,2019-11-01,5.99
9947777,2019-11-05,75.52
33642328,2019-11-07,6.47
179054827,2019-11-01,150.64
173117124,2019-11-01,0.32
187243453,2019-11-01,71.41
138937550,2019-11-01,0.34
100793784,2019-11-03,37.48
51785440,2019-11-01,269.84
174868729,2019-11-04,0.01
186952478,2019-11-01,104.38
